frame,kind,death_cause,gender,number of agents
0,fox,alive,female,21
0,fox,alive,male,29
0,grass,alive,---,971
0,grass,eaten,---,29
0,rabbit,alive,female,23
0,rabbit,alive,male,27
1,fox,alive,female,21
1,fox,alive,male,29
1,grass,alive,---,960
1,grass,eaten,---,26
1,rabbit,alive,female,23
1,rabbit,alive,male,27
2,fox,alive,female,21
2,fox,alive,male,29
2,grass,alive,---,958
2,grass,eaten,---,16
2,rabbit,alive,female,23
2,rabbit,alive,male,27
3,fox,alive,female,21
3,fox,alive,male,29
3,grass,alive,---,956
3,grass,eaten,---,10
3,rabbit,alive,female,23
3,rabbit,alive,male,27
4,fox,alive,female,21
4,fox,alive,male,29
4,grass,alive,---,954
4,grass,eaten,---,6
4,rabbit,alive,female,23
4,rabbit,alive,male,27
5,fox,alive,female,21
5,fox,alive,male,29
5,grass,alive,---,953
5,grass,eaten,---,5
5,rabbit,alive,female,23
5,rabbit,alive,male,28
6,fox,alive,female,21
6,fox,alive,male,29
6,grass,alive,---,952
6,grass,eaten,---,4
6,rabbit,alive,female,23
6,rabbit,alive,male,28
7,fox,alive,female,21
7,fox,alive,male,29
7,grass,alive,---,951
7,grass,eaten,---,2
7,rabbit,alive,female,23
7,rabbit,alive,male,28
8,fox,alive,female,21
8,fox,alive,male,29
8,grass,alive,---,949
8,grass,eaten,---,4
8,rabbit,alive,female,23
8,rabbit,alive,male,28
9,fox,alive,female,21
9,fox,alive,male,29
9,grass,alive,---,947
9,grass,eaten,---,4
9,rabbit,alive,female,22
9,rabbit,alive,male,27
9,rabbit,eaten,female,1
9,rabbit,eaten,male,1
10,fox,alive,female,21
10,fox,alive,male,29
10,grass,alive,---,944
10,grass,eaten,---,4
10,rabbit,alive,female,22
10,rabbit,alive,male,27
11,fox,alive,female,21
11,fox,alive,male,29
11,grass,alive,---,943
11,grass,eaten,---,3
11,rabbit,alive,female,22
11,rabbit,alive,male,27
12,fox,alive,female,21
12,fox,alive,male,29
12,grass,alive,---,942
12,grass,eaten,---,3
12,rabbit,alive,female,23
12,rabbit,alive,male,27
13,fox,alive,female,21
13,fox,alive,male,29
13,grass,alive,---,942
13,grass,eaten,---,3
13,rabbit,alive,female,23
13,rabbit,alive,male,27
14,fox,alive,female,21
14,fox,alive,male,29
14,grass,alive,---,942
14,rabbit,alive,female,23
14,rabbit,alive,male,27
15,fox,alive,female,21
15,fox,alive,male,29
15,grass,alive,---,940
15,grass,eaten,---,2
15,rabbit,alive,female,23
15,rabbit,alive,male,27
16,fox,alive,female,21
16,fox,alive,male,29
16,grass,alive,---,937
16,grass,eaten,---,3
16,rabbit,alive,female,23
16,rabbit,alive,male,27
17,fox,alive,female,21
17,fox,alive,male,29
17,grass,alive,---,935
17,grass,eaten,---,3
17,rabbit,alive,female,24
17,rabbit,alive,male,28
18,fox,alive,female,21
18,fox,alive,male,29
18,grass,alive,---,934
18,grass,eaten,---,2
18,rabbit,alive,female,24
18,rabbit,alive,male,28
19,fox,alive,female,21
19,fox,alive,male,29
19,grass,alive,---,934
19,grass,eaten,---,1
19,rabbit,alive,female,24
19,rabbit,alive,male,28
20,fox,alive,female,21
20,fox,alive,male,29
20,grass,alive,---,933
20,grass,eaten,---,1
20,rabbit,alive,female,24
20,rabbit,alive,male,28
21,fox,alive,female,21
21,fox,alive,male,29
21,grass,alive,---,932
21,grass,eaten,---,1
21,rabbit,alive,female,24
21,rabbit,alive,male,28
22,fox,alive,female,21
22,fox,alive,male,29
22,grass,alive,---,931
22,grass,eaten,---,1
22,rabbit,alive,female,24
22,rabbit,alive,male,28
23,fox,alive,female,21
23,fox,alive,male,29
23,grass,alive,---,928
23,grass,eaten,---,3
23,rabbit,alive,female,24
23,rabbit,alive,male,28
24,fox,alive,female,21
24,fox,alive,male,29
24,grass,alive,---,927
24,grass,eaten,---,3
24,rabbit,alive,female,24
24,rabbit,alive,male,28
25,fox,alive,female,21
25,fox,alive,male,29
25,grass,alive,---,926
25,grass,eaten,---,2
25,rabbit,alive,female,24
25,rabbit,alive,male,28
26,fox,alive,female,21
26,fox,alive,male,28
26,grass,alive,---,925
26,grass,eaten,---,2
26,rabbit,alive,female,24
26,rabbit,alive,male,28
27,fox,alive,female,21
27,fox,alive,male,28
27,grass,alive,---,924
27,grass,eaten,---,2
27,rabbit,alive,female,24
27,rabbit,alive,male,28
28,fox,alive,female,21
28,fox,alive,male,27
28,grass,alive,---,923
28,grass,eaten,---,1
28,rabbit,alive,female,24
28,rabbit,alive,male,28
29,fox,alive,female,21
29,fox,alive,male,27
29,grass,alive,---,918
29,grass,eaten,---,5
29,rabbit,alive,female,24
29,rabbit,alive,male,28
30,fox,alive,female,21
30,fox,alive,male,27
30,grass,alive,---,915
30,grass,eaten,---,5
30,rabbit,alive,female,24
30,rabbit,alive,male,27
30,rabbit,eaten,male,1
31,fox,alive,female,21
31,fox,alive,male,27
31,grass,alive,---,914
31,grass,eaten,---,4
31,rabbit,alive,female,24
31,rabbit,alive,male,26
31,rabbit,eaten,male,1
32,fox,alive,female,21
32,fox,alive,male,27
32,grass,alive,---,913
32,grass,eaten,---,4
32,rabbit,alive,female,24
32,rabbit,alive,male,25
32,rabbit,eaten,male,1
33,fox,alive,female,21
33,fox,alive,male,27
33,grass,alive,---,910
33,grass,eaten,---,4
33,rabbit,alive,female,24
33,rabbit,alive,male,25
34,fox,alive,female,21
34,fox,alive,male,27
34,grass,alive,---,910
34,grass,eaten,---,3
34,rabbit,alive,female,24
34,rabbit,alive,male,25
35,fox,alive,female,21
35,fox,alive,male,27
35,grass,alive,---,909
35,grass,eaten,---,2
35,rabbit,alive,female,24
35,rabbit,alive,male,25
36,fox,alive,female,21
36,fox,alive,male,27
36,grass,alive,---,909
36,grass,eaten,---,1
36,rabbit,alive,female,24
36,rabbit,alive,male,25
37,fox,alive,female,21
37,fox,alive,male,27
37,grass,alive,---,908
37,grass,eaten,---,2
37,rabbit,alive,female,24
37,rabbit,alive,male,25
38,fox,alive,female,21
38,fox,alive,male,27
38,grass,alive,---,905
38,grass,eaten,---,4
38,rabbit,alive,female,24
38,rabbit,alive,male,25
39,fox,alive,female,21
39,fox,alive,male,27
39,grass,alive,---,904
39,grass,eaten,---,3
39,rabbit,alive,female,24
39,rabbit,alive,male,25
40,fox,alive,female,21
40,fox,alive,male,27
40,grass,alive,---,902
40,grass,eaten,---,3
40,rabbit,alive,female,24
40,rabbit,alive,male,25
41,fox,alive,female,21
41,fox,alive,male,27
41,grass,alive,---,901
41,grass,eaten,---,2
41,rabbit,alive,female,24
41,rabbit,alive,male,25
42,fox,alive,female,21
42,fox,alive,male,27
42,grass,alive,---,900
42,grass,eaten,---,1
42,rabbit,alive,female,24
42,rabbit,alive,male,25
43,fox,alive,female,21
43,fox,alive,male,27
43,grass,alive,---,899
43,grass,eaten,---,1
43,rabbit,alive,female,24
43,rabbit,alive,male,25
44,fox,alive,female,21
44,fox,alive,male,27
44,grass,alive,---,897
44,grass,eaten,---,2
44,rabbit,alive,female,24
44,rabbit,alive,male,25
45,fox,alive,female,21
45,fox,alive,male,27
45,grass,alive,---,895
45,grass,eaten,---,2
45,rabbit,alive,female,24
45,rabbit,alive,male,25
46,fox,alive,female,21
46,fox,alive,male,27
46,grass,alive,---,895
46,rabbit,alive,female,24
46,rabbit,alive,male,25
47,fox,alive,female,21
47,fox,alive,male,27
47,grass,alive,---,894
47,grass,eaten,---,1
47,rabbit,alive,female,24
47,rabbit,alive,male,25
48,fox,alive,female,21
48,fox,alive,male,27
48,grass,alive,---,893
48,grass,eaten,---,1
48,rabbit,alive,female,24
48,rabbit,alive,male,25
49,fox,alive,female,21
49,fox,alive,male,27
49,grass,alive,---,892
49,grass,eaten,---,2
49,rabbit,alive,female,24
49,rabbit,alive,male,25
50,fox,alive,female,4
50,fox,alive,male,1
50,grass,alive,---,890
50,grass,eaten,---,2
50,rabbit,alive,female,18
50,rabbit,alive,male,23
51,fox,alive,female,4
51,fox,alive,male,1
51,grass,alive,---,889
51,grass,eaten,---,3
51,rabbit,alive,female,18
51,rabbit,alive,male,23
52,fox,alive,female,4
52,fox,alive,male,1
52,grass,alive,---,887
52,grass,eaten,---,3
52,rabbit,alive,female,18
52,rabbit,alive,male,23
53,fox,alive,female,4
53,fox,alive,male,1
53,grass,alive,---,885
53,grass,eaten,---,4
53,rabbit,alive,female,18
53,rabbit,alive,male,23
54,fox,alive,female,4
54,fox,alive,male,1
54,grass,alive,---,885
54,grass,eaten,---,3
54,rabbit,alive,female,18
54,rabbit,alive,male,23
55,fox,alive,female,4
55,fox,alive,male,1
55,grass,alive,---,885
55,grass,eaten,---,1
55,rabbit,alive,female,18
55,rabbit,alive,male,23
56,fox,alive,female,4
56,fox,alive,male,1
56,grass,alive,---,883
56,grass,eaten,---,3
56,rabbit,alive,female,18
56,rabbit,alive,male,23
57,fox,alive,female,4
57,fox,alive,male,1
57,grass,alive,---,882
57,grass,eaten,---,3
57,rabbit,alive,female,18
57,rabbit,alive,male,23
58,fox,alive,female,4
58,fox,alive,male,1
58,grass,alive,---,882
58,rabbit,alive,female,18
58,rabbit,alive,male,23
59,fox,alive,female,4
59,fox,alive,male,1
59,grass,alive,---,881
59,grass,eaten,---,1
59,rabbit,alive,female,18
59,rabbit,alive,male,23
60,fox,alive,female,3
60,grass,alive,---,879
60,grass,eaten,---,3
60,rabbit,alive,female,18
60,rabbit,alive,male,23
61,fox,alive,female,3
61,grass,alive,---,879
61,grass,eaten,---,3
61,rabbit,alive,female,18
61,rabbit,alive,male,23
62,fox,alive,female,3
62,grass,alive,---,878
62,grass,eaten,---,3
62,rabbit,alive,female,18
62,rabbit,alive,male,23
63,fox,alive,female,3
63,grass,alive,---,878
63,grass,eaten,---,1
63,rabbit,alive,female,18
63,rabbit,alive,male,23
64,fox,alive,female,3
64,grass,alive,---,877
64,grass,eaten,---,2
64,rabbit,alive,female,18
64,rabbit,alive,male,23
65,fox,alive,female,3
65,grass,alive,---,877
65,rabbit,alive,female,18
65,rabbit,alive,male,23
66,fox,alive,female,3
66,grass,alive,---,875
66,grass,eaten,---,2
66,rabbit,alive,female,18
66,rabbit,alive,male,23
67,fox,alive,female,3
67,grass,alive,---,874
67,grass,eaten,---,2
67,rabbit,alive,female,18
67,rabbit,alive,male,23
68,fox,alive,female,3
68,grass,alive,---,874
68,grass,eaten,---,1
68,rabbit,alive,female,18
68,rabbit,alive,male,23
69,fox,alive,female,3
69,grass,alive,---,873
69,grass,eaten,---,1
69,rabbit,alive,female,18
69,rabbit,alive,male,23
70,fox,alive,female,3
70,grass,alive,---,871
70,grass,eaten,---,3
70,rabbit,alive,female,18
70,rabbit,alive,male,23
71,fox,alive,female,3
71,grass,alive,---,869
71,grass,eaten,---,3
71,rabbit,alive,female,18
71,rabbit,alive,male,23
72,fox,alive,female,3
72,grass,alive,---,869
72,grass,eaten,---,3
72,rabbit,alive,female,18
72,rabbit,alive,male,23
73,fox,alive,female,3
73,grass,alive,---,868
73,grass,eaten,---,2
73,rabbit,alive,female,18
73,rabbit,alive,male,23
74,fox,alive,female,3
74,grass,alive,---,867
74,grass,eaten,---,2
74,rabbit,alive,female,18
74,rabbit,alive,male,23
75,fox,alive,female,3
75,grass,alive,---,866
75,grass,eaten,---,2
75,rabbit,alive,female,18
75,rabbit,alive,male,23
76,fox,alive,female,3
76,grass,alive,---,865
76,grass,eaten,---,2
76,rabbit,alive,female,18
76,rabbit,alive,male,23
77,fox,alive,female,3
77,grass,alive,---,865
77,grass,eaten,---,2
77,rabbit,alive,female,18
77,rabbit,alive,male,23
78,fox,alive,female,3
78,grass,alive,---,864
78,grass,eaten,---,2
78,rabbit,alive,female,18
78,rabbit,alive,male,23
79,fox,alive,female,3
79,grass,alive,---,864
79,grass,eaten,---,1
79,rabbit,alive,female,18
79,rabbit,alive,male,24
80,fox,alive,female,3
80,grass,alive,---,864
80,rabbit,alive,female,18
80,rabbit,alive,male,24
81,fox,alive,female,2
81,grass,alive,---,864
81,rabbit,alive,female,18
81,rabbit,alive,male,24
82,fox,alive,female,1
82,grass,alive,---,863
82,grass,eaten,---,1
82,rabbit,alive,female,18
82,rabbit,alive,male,24
83,grass,alive,---,862
83,grass,eaten,---,1
83,rabbit,alive,female,18
83,rabbit,alive,male,24
84,grass,alive,---,858
84,grass,eaten,---,5
84,rabbit,alive,female,18
84,rabbit,alive,male,24
85,grass,alive,---,858
