frame,kind,death_cause,number of agents
0,fox,alive,50
0,rabbit,alive,50
1,fox,alive,52
1,rabbit,alive,52
2,fox,alive,54
2,rabbit,alive,53
3,fox,alive,58
3,rabbit,alive,55
4,fox,alive,59
4,rabbit,alive,57
5,fox,alive,62
5,rabbit,alive,57
6,fox,alive,65
6,rabbit,alive,59
7,fox,alive,72
7,rabbit,alive,59
8,fox,alive,74
8,rabbit,alive,60
9,fox,alive,78
9,rabbit,alive,63
10,fox,alive,82
10,rabbit,alive,67
11,fox,alive,85
11,rabbit,alive,68
11,rabbit,eaten,1
12,fox,alive,90
12,rabbit,alive,75
13,fox,alive,93
13,rabbit,alive,78
13,rabbit,eaten,1
14,fox,alive,95
14,rabbit,alive,83
15,fox,alive,97
15,rabbit,alive,85
16,fox,alive,98
16,rabbit,alive,86
17,fox,alive,102
17,rabbit,alive,90
18,fox,alive,110
18,rabbit,alive,97
19,fox,alive,116
19,rabbit,alive,101
20,fox,alive,126
20,rabbit,alive,102
21,fox,alive,125
21,rabbit,alive,103
21,rabbit,eaten,1
22,fox,alive,133
22,rabbit,alive,109
22,rabbit,eaten,1
23,fox,alive,139
23,rabbit,alive,117
24,fox,alive,142
24,rabbit,alive,119
25,fox,alive,144
25,rabbit,alive,121
26,fox,alive,151
26,rabbit,alive,127
27,fox,alive,156
27,rabbit,alive,135
28,fox,alive,160
28,rabbit,alive,145
29,fox,alive,158
29,rabbit,alive,153
29,rabbit,eaten,1
30,fox,alive,158
30,rabbit,alive,163
31,fox,alive,160
31,rabbit,alive,167
32,fox,alive,161
32,rabbit,alive,177
33,fox,alive,170
33,rabbit,alive,181
34,fox,alive,176
34,rabbit,alive,187
35,fox,alive,181
35,rabbit,alive,197
36,fox,alive,191
36,rabbit,alive,209
37,fox,alive,195
37,rabbit,alive,220
38,fox,alive,203
38,rabbit,alive,231
39,fox,alive,197
39,rabbit,alive,244
39,rabbit,eaten,1
40,fox,alive,204
40,rabbit,alive,260
41,fox,alive,209
41,rabbit,alive,269
42,fox,alive,218
42,rabbit,alive,279
43,fox,alive,232
43,rabbit,alive,294
44,fox,alive,234
44,rabbit,alive,307
45,fox,alive,241
45,rabbit,alive,323
45,rabbit,eaten,1
46,fox,alive,248
46,rabbit,alive,336
47,fox,alive,251
47,rabbit,alive,353
48,fox,alive,258
48,rabbit,alive,367
49,fox,alive,264
49,rabbit,alive,389
50,fox,alive,275
50,rabbit,alive,410
51,fox,alive,279
51,rabbit,alive,430
52,fox,alive,293
52,rabbit,alive,446
53,fox,alive,302
53,rabbit,alive,461
54,fox,alive,317
54,rabbit,alive,472
55,fox,alive,324
55,rabbit,alive,491
56,fox,alive,328
56,rabbit,alive,504
56,rabbit,eaten,1
57,fox,alive,343
57,rabbit,alive,523
58,fox,alive,348
58,rabbit,alive,550
59,fox,alive,351
59,rabbit,alive,576
60,fox,alive,363
60,rabbit,alive,608
61,fox,alive,370
61,rabbit,alive,639
62,fox,alive,369
62,rabbit,alive,640
63,fox,alive,362
63,rabbit,alive,647
64,fox,alive,360
64,rabbit,alive,649
65,fox,alive,355
65,rabbit,alive,654
66,fox,alive,350
66,rabbit,alive,658
66,rabbit,eaten,1
67,fox,alive,348
67,rabbit,alive,661
68,fox,alive,344
68,rabbit,alive,666
69,fox,alive,339
69,rabbit,alive,671
70,fox,alive,336
70,rabbit,alive,672
70,rabbit,eaten,2
71,fox,alive,332
71,rabbit,alive,679
72,fox,alive,330
72,rabbit,alive,681
73,fox,alive,326
73,rabbit,alive,685
74,fox,alive,319
74,rabbit,alive,693
75,fox,alive,316
75,rabbit,alive,698
76,fox,alive,314
76,rabbit,alive,700
76,rabbit,eaten,1
77,fox,alive,309
77,rabbit,alive,706
78,fox,alive,302
78,rabbit,alive,713
79,fox,alive,298
79,rabbit,alive,715
79,rabbit,eaten,2
80,fox,alive,296
80,rabbit,alive,720
80,rabbit,eaten,1
81,fox,alive,291
81,rabbit,alive,726
82,fox,alive,285
82,rabbit,alive,730
82,rabbit,eaten,2
83,fox,alive,286
83,rabbit,alive,731
84,fox,alive,281
84,rabbit,alive,736
85,fox,alive,283
85,rabbit,alive,735
85,rabbit,eaten,1
86,fox,alive,280
86,rabbit,alive,738
86,rabbit,eaten,1
87,fox,alive,281
87,rabbit,alive,738
88,fox,alive,279
88,rabbit,alive,740
89,fox,alive,278
89,rabbit,alive,739
89,rabbit,eaten,2
90,fox,alive,277
90,rabbit,alive,740
90,rabbit,eaten,2
91,fox,alive,276
91,rabbit,alive,743
91,rabbit,eaten,1
92,fox,alive,273
92,rabbit,alive,745
92,rabbit,eaten,2
93,fox,alive,271
93,rabbit,alive,749
94,fox,alive,271
94,rabbit,alive,749
95,fox,alive,268
95,rabbit,alive,752
96,fox,alive,264
96,rabbit,alive,756
96,rabbit,eaten,1
97,fox,alive,260
97,rabbit,alive,759
97,rabbit,eaten,2
98,fox,alive,257
98,rabbit,alive,764
98,rabbit,eaten,1
99,fox,alive,258
99,rabbit,alive,764
99,rabbit,eaten,1
100,fox,alive,253
100,rabbit,alive,770
101,fox,alive,248
101,rabbit,alive,775
101,rabbit,eaten,1
102,fox,alive,246
102,rabbit,alive,777
102,rabbit,eaten,1
103,fox,alive,241
103,rabbit,alive,782
103,rabbit,eaten,1
104,fox,alive,232
104,rabbit,alive,792
105,fox,alive,230
105,rabbit,alive,793
105,rabbit,eaten,2
106,fox,alive,230
106,rabbit,alive,795
107,fox,alive,222
107,rabbit,alive,801
107,rabbit,eaten,3
108,fox,alive,219
108,rabbit,alive,809
109,fox,alive,212
109,rabbit,alive,816
110,fox,alive,206
110,rabbit,alive,821
110,rabbit,eaten,1
111,fox,alive,199
111,rabbit,alive,830
112,fox,alive,198
112,rabbit,alive,830
112,rabbit,eaten,1
113,fox,alive,199
113,rabbit,alive,830
114,fox,alive,197
114,rabbit,alive,832
114,rabbit,eaten,1
115,fox,alive,197
115,rabbit,alive,832
115,rabbit,eaten,1
116,fox,alive,195
116,rabbit,alive,835
117,fox,alive,194
117,rabbit,alive,835
117,rabbit,eaten,1
118,fox,alive,189
118,rabbit,alive,839
118,rabbit,eaten,2
119,fox,alive,187
119,rabbit,alive,842
119,rabbit,eaten,1
120,fox,alive,183
120,rabbit,alive,847
121,fox,alive,180
121,rabbit,alive,850
122,fox,alive,180
122,rabbit,alive,849
122,rabbit,eaten,1
123,fox,alive,178
123,rabbit,alive,852
124,fox,alive,177
124,rabbit,alive,853
125,fox,alive,173
125,rabbit,alive,858
126,fox,alive,173
126,rabbit,alive,860
126,rabbit,eaten,1
127,fox,alive,172
127,rabbit,alive,863
128,fox,alive,171
128,rabbit,alive,863
128,rabbit,eaten,1
129,fox,alive,171
129,rabbit,alive,865
130,fox,alive,170
130,rabbit,alive,866
131,fox,alive,172
131,rabbit,alive,866
132,fox,alive,172
132,rabbit,alive,865
132,rabbit,eaten,1
133,fox,alive,170
133,rabbit,alive,867
133,rabbit,eaten,1
134,fox,alive,169
134,rabbit,alive,869
135,fox,alive,167
135,rabbit,alive,870
135,rabbit,eaten,1
136,fox,alive,168
136,rabbit,alive,872
137,fox,alive,168
137,rabbit,alive,872
138,fox,alive,168
138,rabbit,alive,872
139,fox,alive,168
139,rabbit,alive,871
139,rabbit,eaten,1
140,fox,alive,169
140,rabbit,alive,873
141,fox,alive,168
141,rabbit,alive,874
142,fox,alive,167
142,rabbit,alive,875
143,fox,alive,167
143,rabbit,alive,875
144,fox,alive,166
144,rabbit,alive,876
