frame,kind,death_cause,number of agents
0,fox,alive,50
0,grass,alive,978
0,grass,eaten,22
0,rabbit,alive,50
1,fox,alive,55
1,grass,alive,972
1,grass,eaten,17
1,rabbit,alive,50
2,fox,alive,61
2,grass,alive,971
2,grass,eaten,9
2,rabbit,alive,54
3,fox,alive,64
3,grass,alive,970
3,grass,eaten,5
3,rabbit,alive,55
4,fox,alive,70
4,grass,alive,968
4,grass,eaten,3
4,rabbit,alive,56
5,fox,alive,74
5,grass,alive,965
5,grass,eaten,4
5,rabbit,alive,59
6,fox,alive,77
6,grass,alive,963
6,grass,eaten,5
6,rabbit,alive,63
7,fox,alive,79
7,grass,alive,961
7,grass,eaten,5
7,rabbit,alive,67
8,fox,alive,85
8,grass,alive,959
8,grass,eaten,4
8,rabbit,alive,69
9,fox,alive,91
9,grass,alive,958
9,grass,eaten,3
9,rabbit,alive,71
9,rabbit,eaten,1
10,fox,alive,100
10,grass,alive,955
10,grass,eaten,4
10,rabbit,alive,79
11,fox,alive,104
11,grass,alive,954
11,grass,eaten,3
11,rabbit,alive,84
12,fox,alive,108
12,grass,alive,953
12,grass,eaten,1
12,rabbit,alive,89
13,fox,alive,118
13,grass,alive,952
13,grass,eaten,2
13,rabbit,alive,96
14,fox,alive,123
14,grass,alive,952
14,grass,eaten,2
14,rabbit,alive,99
15,fox,alive,126
15,grass,alive,951
15,grass,eaten,3
15,rabbit,alive,103
16,fox,alive,129
16,grass,alive,951
16,grass,eaten,1
16,rabbit,alive,109
17,fox,alive,135
17,grass,alive,949
17,grass,eaten,3
17,rabbit,alive,118
18,fox,alive,140
18,grass,alive,947
18,grass,eaten,3
18,rabbit,alive,124
19,fox,alive,146
19,grass,alive,946
19,grass,eaten,2
19,rabbit,alive,130
20,fox,alive,154
20,grass,alive,946
20,rabbit,alive,136
21,fox,alive,158
21,grass,alive,945
21,grass,eaten,1
21,rabbit,alive,140
22,fox,alive,163
22,grass,alive,945
22,grass,eaten,1
22,rabbit,alive,143
23,fox,alive,165
23,grass,alive,945
23,rabbit,alive,151
24,fox,alive,169
24,grass,alive,944
24,grass,eaten,1
24,rabbit,alive,156
24,rabbit,eaten,1
25,fox,alive,178
25,grass,alive,943
25,grass,eaten,1
25,rabbit,alive,162
26,fox,alive,172
26,grass,alive,942
26,grass,eaten,1
26,rabbit,alive,172
27,fox,alive,166
27,grass,alive,942
27,rabbit,alive,174
28,fox,alive,163
28,grass,alive,940
28,grass,eaten,1
28,rabbit,alive,180
29,fox,alive,159
29,grass,alive,936
29,grass,eaten,1
29,rabbit,alive,184
30,fox,alive,152
30,grass,alive,935
30,grass,eaten,2
30,rabbit,alive,193
31,fox,alive,153
31,grass,alive,934
31,grass,eaten,2
31,rabbit,alive,198
31,rabbit,eaten,1
32,fox,alive,146
32,grass,alive,931
32,grass,eaten,2
32,rabbit,alive,206
33,fox,alive,146
33,grass,alive,929
33,grass,eaten,3
33,rabbit,alive,208
34,fox,alive,146
34,grass,alive,926
34,grass,eaten,4
34,rabbit,alive,211
34,rabbit,eaten,1
35,fox,alive,146
35,grass,alive,925
35,grass,eaten,2
35,rabbit,alive,219
36,fox,alive,144
36,grass,alive,924
36,grass,eaten,1
36,rabbit,alive,224
36,rabbit,eaten,1
37,fox,alive,141
37,grass,alive,923
37,grass,eaten,1
37,rabbit,alive,223
37,rabbit,eaten,1
38,fox,alive,140
38,grass,alive,919
38,rabbit,alive,236
39,fox,alive,142
39,grass,alive,918
39,rabbit,alive,235
40,fox,alive,144
40,grass,alive,917
40,grass,eaten,1
40,rabbit,alive,242
41,fox,alive,142
41,grass,alive,915
41,grass,eaten,2
41,rabbit,alive,244
41,rabbit,eaten,1
42,fox,alive,147
42,grass,alive,913
42,grass,eaten,2
42,rabbit,alive,248
43,fox,alive,148
43,grass,alive,909
43,grass,eaten,3
43,rabbit,alive,254
44,fox,alive,150
44,grass,alive,908
44,rabbit,alive,258
44,rabbit,eaten,1
45,fox,alive,144
45,grass,alive,907
45,rabbit,alive,268
46,fox,alive,146
46,grass,alive,906
46,rabbit,alive,266
47,fox,alive,148
47,grass,alive,903
47,rabbit,alive,274
48,fox,alive,148
48,grass,alive,903
48,rabbit,alive,283
49,fox,alive,149
49,grass,alive,903
49,rabbit,alive,287
50,fox,alive,145
50,grass,alive,900
50,grass,eaten,1
50,rabbit,alive,292
51,fox,alive,150
51,grass,alive,895
51,grass,eaten,2
51,rabbit,alive,303
52,fox,alive,152
52,grass,alive,893
52,grass,eaten,2
52,rabbit,alive,314
53,fox,alive,150
53,grass,alive,892
53,grass,eaten,1
53,rabbit,alive,326
54,fox,alive,144
54,grass,alive,891
54,grass,eaten,1
54,rabbit,alive,334
54,rabbit,eaten,1
55,fox,alive,145
55,grass,alive,889
55,grass,eaten,1
55,rabbit,alive,346
56,fox,alive,145
56,grass,alive,888
56,grass,eaten,1
56,rabbit,alive,352
56,rabbit,eaten,1
57,fox,alive,142
57,grass,alive,886
57,grass,eaten,1
57,rabbit,alive,364
58,fox,alive,142
58,grass,alive,885
58,rabbit,alive,373
59,fox,alive,141
59,grass,alive,883
59,grass,eaten,1
59,rabbit,alive,384
60,fox,alive,144
60,grass,alive,883
60,grass,eaten,1
60,rabbit,alive,394
61,fox,alive,143
61,grass,alive,882
61,grass,eaten,1
61,rabbit,alive,405
62,fox,alive,139
62,grass,alive,878
62,grass,eaten,3
62,rabbit,alive,410
63,fox,alive,140
63,grass,alive,877
63,grass,eaten,1
63,rabbit,alive,421
64,fox,alive,141
64,grass,alive,873
64,rabbit,alive,434
65,fox,alive,143
65,grass,alive,873
65,rabbit,alive,441
66,fox,alive,141
66,grass,alive,868
66,grass,eaten,1
66,rabbit,alive,441
66,rabbit,eaten,1
67,fox,alive,142
67,grass,alive,863
67,grass,eaten,1
67,rabbit,alive,453
68,fox,alive,140
68,grass,alive,862
68,rabbit,alive,461
69,fox,alive,141
69,grass,alive,862
69,rabbit,alive,472
69,rabbit,eaten,1
70,fox,alive,145
70,grass,alive,858
70,rabbit,alive,481
71,fox,alive,146
71,grass,alive,852
71,rabbit,alive,490
72,fox,alive,148
72,grass,alive,848
72,rabbit,alive,501
73,fox,alive,144
73,grass,alive,846
73,rabbit,alive,515
74,fox,alive,145
74,grass,alive,843
74,grass,eaten,1
74,rabbit,alive,533
75,fox,alive,140
75,grass,alive,841
75,grass,eaten,1
75,rabbit,alive,551
75,rabbit,eaten,1
76,fox,alive,139
76,grass,alive,839
76,grass,eaten,2
76,rabbit,alive,555
77,fox,alive,139
77,grass,alive,837
77,grass,eaten,2
77,rabbit,alive,559
77,rabbit,eaten,1
78,fox,alive,140
78,grass,alive,835
78,grass,eaten,1
78,rabbit,alive,570
78,rabbit,eaten,1
79,fox,alive,145
79,grass,alive,834
79,grass,eaten,2
79,rabbit,alive,576
80,fox,alive,142
80,grass,alive,831
80,grass,eaten,2
80,rabbit,alive,591
81,fox,alive,141
81,grass,alive,830
81,rabbit,alive,611
82,fox,alive,140
82,grass,alive,824
82,grass,eaten,1
82,rabbit,alive,621
83,fox,alive,141
83,grass,alive,822
83,rabbit,alive,632
84,fox,alive,145
84,grass,alive,819
84,rabbit,alive,640
85,fox,alive,150
85,grass,alive,815
85,grass,eaten,1
85,rabbit,alive,650
86,fox,alive,154
86,grass,alive,811
86,rabbit,alive,664
87,fox,alive,157
87,grass,alive,808
87,rabbit,alive,675
88,fox,alive,161
88,grass,alive,806
88,rabbit,alive,689
89,fox,alive,159
89,grass,alive,805
89,rabbit,alive,719
90,fox,alive,156
90,grass,alive,799
90,grass,eaten,1
90,rabbit,alive,742
91,fox,alive,160
91,grass,alive,795
91,rabbit,alive,764
92,fox,alive,155
92,grass,alive,792
92,grass,eaten,1
92,rabbit,alive,782
92,rabbit,eaten,1
93,fox,alive,157
93,grass,alive,792
93,grass,eaten,1
93,rabbit,alive,792
93,rabbit,eaten,1
94,fox,alive,163
94,grass,alive,790
94,rabbit,alive,810
94,rabbit,eaten,1
95,fox,alive,164
95,grass,alive,789
95,rabbit,alive,833
96,fox,alive,163
96,grass,alive,788
96,rabbit,alive,857
97,fox,alive,162
97,grass,alive,787
97,rabbit,alive,860
98,fox,alive,159
98,grass,alive,781
98,rabbit,alive,863
99,fox,alive,158
99,grass,alive,776
99,grass,eaten,1
99,rabbit,alive,864
100,fox,alive,156
100,grass,alive,773
100,rabbit,alive,866
101,fox,alive,159
101,grass,alive,771
101,rabbit,alive,863
102,fox,alive,156
102,grass,alive,769
102,rabbit,alive,866
103,fox,alive,150
103,grass,alive,768
103,rabbit,alive,872
104,fox,alive,149
104,grass,alive,764
104,rabbit,alive,873
105,fox,alive,150
105,grass,alive,764
105,rabbit,alive,872
106,fox,alive,149
106,grass,alive,763
106,rabbit,alive,873
107,fox,alive,148
107,grass,alive,760
107,rabbit,alive,874
108,fox,alive,151
108,grass,alive,757
108,rabbit,alive,871
109,fox,alive,148
109,grass,alive,754
109,rabbit,alive,874
110,fox,alive,142
110,grass,alive,754
110,rabbit,alive,880
111,fox,alive,139
111,grass,alive,750
111,rabbit,alive,883
112,fox,alive,136
112,grass,alive,749
112,rabbit,alive,883
113,fox,alive,131
113,grass,alive,742
113,rabbit,alive,887
113,rabbit,eaten,2
114,fox,alive,127
114,grass,alive,737
114,grass,eaten,1
114,rabbit,alive,895
114,rabbit,eaten,1
115,fox,alive,124
115,grass,alive,734
115,rabbit,alive,898
115,rabbit,eaten,1
