frame,kind,death_cause,number of agents
0,fox,alive,50
0,rabbit,alive,50
1,fox,alive,50
1,rabbit,alive,50
2,fox,alive,50
2,rabbit,alive,50
3,fox,alive,51
3,rabbit,alive,50
4,fox,alive,51
4,rabbit,alive,50
5,fox,alive,51
5,rabbit,alive,50
6,fox,alive,51
6,rabbit,alive,50
7,fox,alive,51
7,rabbit,alive,50
8,fox,alive,51
8,rabbit,alive,50
9,fox,alive,51
9,rabbit,alive,49
9,rabbit,eaten,1
10,fox,alive,51
10,rabbit,alive,49
11,fox,alive,51
11,rabbit,alive,49
12,fox,alive,51
12,rabbit,alive,49
13,fox,alive,51
13,rabbit,alive,49
14,fox,alive,51
14,rabbit,alive,47
14,rabbit,eaten,2
15,fox,alive,51
15,rabbit,alive,47
16,fox,alive,51
16,rabbit,alive,47
17,fox,alive,51
17,rabbit,alive,47
18,fox,alive,51
18,rabbit,alive,47
19,fox,alive,51
19,rabbit,alive,45
19,rabbit,eaten,2
20,fox,alive,51
20,rabbit,alive,45
21,fox,alive,51
21,rabbit,alive,45
22,fox,alive,51
22,rabbit,alive,45
23,fox,alive,51
23,rabbit,alive,45
24,fox,alive,51
24,rabbit,alive,45
25,fox,alive,51
25,rabbit,alive,45
26,fox,alive,51
26,rabbit,alive,46
27,fox,alive,51
27,rabbit,alive,46
28,fox,alive,51
28,rabbit,alive,46
29,fox,alive,51
29,rabbit,alive,46
30,fox,alive,51
30,rabbit,alive,46
31,fox,alive,51
31,rabbit,alive,46
32,fox,alive,51
32,rabbit,alive,45
32,rabbit,eaten,1
33,fox,alive,51
33,rabbit,alive,45
34,fox,alive,51
34,rabbit,alive,45
35,fox,alive,51
35,rabbit,alive,45
36,fox,alive,51
36,rabbit,alive,45
37,fox,alive,51
37,rabbit,alive,45
38,fox,alive,51
38,rabbit,alive,45
39,fox,alive,51
39,rabbit,alive,45
40,fox,alive,51
40,rabbit,alive,44
40,rabbit,eaten,1
41,fox,alive,51
41,rabbit,alive,44
42,fox,alive,51
42,rabbit,alive,44
43,fox,alive,51
43,rabbit,alive,44
44,fox,alive,51
44,rabbit,alive,44
45,fox,alive,51
45,rabbit,alive,44
46,fox,alive,51
46,rabbit,alive,44
47,fox,alive,51
47,rabbit,alive,44
48,fox,alive,51
48,rabbit,alive,44
49,fox,alive,51
49,rabbit,alive,44
50,fox,alive,8
50,rabbit,alive,44
51,fox,alive,8
51,rabbit,alive,44
52,fox,alive,8
52,rabbit,alive,44
53,fox,alive,7
53,rabbit,alive,44
54,fox,alive,7
54,rabbit,alive,44
55,fox,alive,7
55,rabbit,alive,44
56,fox,alive,7
56,rabbit,alive,44
57,fox,alive,7
57,rabbit,alive,44
58,fox,alive,7
58,rabbit,alive,44
59,fox,alive,7
59,rabbit,alive,44
60,fox,alive,6
60,rabbit,alive,44
61,fox,alive,6
61,rabbit,alive,44
62,fox,alive,6
62,rabbit,alive,44
63,fox,alive,6
63,rabbit,alive,44
64,fox,alive,6
64,rabbit,alive,44
65,fox,alive,4
65,rabbit,alive,44
66,fox,alive,4
66,rabbit,alive,44
67,fox,alive,4
67,rabbit,alive,44
68,fox,alive,4
68,rabbit,alive,44
69,fox,alive,4
69,rabbit,alive,44
70,fox,alive,2
70,rabbit,alive,44
71,fox,alive,2
71,rabbit,alive,44
72,fox,alive,2
72,rabbit,alive,44
73,fox,alive,2
73,rabbit,alive,44
74,fox,alive,2
74,rabbit,alive,44
75,fox,alive,2
75,rabbit,alive,44
76,fox,alive,2
76,rabbit,alive,44
77,fox,alive,2
77,rabbit,alive,44
78,fox,alive,2
78,rabbit,alive,44
79,fox,alive,2
79,rabbit,alive,44
80,fox,alive,2
80,rabbit,alive,44
81,fox,alive,2
81,rabbit,alive,44
82,fox,alive,2
82,rabbit,alive,44
83,fox,alive,1
83,rabbit,alive,44
84,fox,alive,1
84,rabbit,alive,44
85,fox,alive,1
85,rabbit,alive,44
86,fox,alive,1
86,rabbit,alive,44
87,fox,alive,1
87,rabbit,alive,44
88,fox,alive,1
88,rabbit,alive,44
89,fox,alive,1
89,rabbit,alive,44
90,fox,alive,1
90,rabbit,alive,44
91,rabbit,alive,44
92,rabbit,alive,44
93,rabbit,alive,44
94,rabbit,alive,44
95,rabbit,alive,44
96,rabbit,alive,44
97,rabbit,alive,44
98,rabbit,alive,44
99,rabbit,alive,44
100,rabbit,alive,44
101,rabbit,alive,44
102,rabbit,alive,44
103,rabbit,alive,44
104,rabbit,alive,44
105,rabbit,alive,44
106,rabbit,alive,44
107,rabbit,alive,44
108,rabbit,alive,44
109,rabbit,alive,44
110,rabbit,alive,44
111,rabbit,alive,44
112,rabbit,alive,44
113,rabbit,alive,44
114,rabbit,alive,44
115,rabbit,alive,44
116,rabbit,alive,44
117,rabbit,alive,44
118,rabbit,alive,44
119,rabbit,alive,44
120,rabbit,alive,44
121,rabbit,alive,44
122,rabbit,alive,44
123,rabbit,alive,44
124,rabbit,alive,44
125,rabbit,alive,44
126,rabbit,alive,44
127,rabbit,alive,44
128,rabbit,alive,44
129,rabbit,alive,44
130,rabbit,alive,44
131,rabbit,alive,44
132,rabbit,alive,44
133,rabbit,alive,44
134,rabbit,alive,44
135,rabbit,alive,44
136,rabbit,alive,44
137,rabbit,alive,44
138,rabbit,alive,44
139,rabbit,alive,44
140,rabbit,alive,44
141,rabbit,alive,44
142,rabbit,alive,44
143,rabbit,alive,44
144,rabbit,alive,44
145,rabbit,alive,44
146,rabbit,alive,44
147,rabbit,alive,44
148,rabbit,alive,44
149,rabbit,alive,44
150,rabbit,alive,45
151,rabbit,alive,45
152,rabbit,alive,45
153,rabbit,alive,45
154,rabbit,alive,45
155,rabbit,alive,45
156,rabbit,alive,45
157,rabbit,alive,45
158,rabbit,alive,45
159,rabbit,alive,46
160,rabbit,alive,46
161,rabbit,alive,46
162,rabbit,alive,46
163,rabbit,alive,46
164,rabbit,alive,46
165,rabbit,alive,47
166,rabbit,alive,48
167,rabbit,alive,48
168,rabbit,alive,48
169,rabbit,alive,48
170,rabbit,alive,48
171,rabbit,alive,48
172,rabbit,alive,48
173,rabbit,alive,48
174,rabbit,alive,48
175,rabbit,alive,48
176,rabbit,alive,48
177,rabbit,alive,48
178,rabbit,alive,48
179,rabbit,alive,48
180,rabbit,alive,48
181,rabbit,alive,48
182,rabbit,alive,48
183,rabbit,alive,48
184,rabbit,alive,48
185,rabbit,alive,48
186,rabbit,alive,48
187,rabbit,alive,48
188,rabbit,alive,48
189,rabbit,alive,48
190,rabbit,alive,48
191,rabbit,alive,48
192,rabbit,alive,48
193,rabbit,alive,48
194,rabbit,alive,48
195,rabbit,alive,48
196,rabbit,alive,48
197,rabbit,alive,48
198,rabbit,alive,48
199,rabbit,alive,48
200,rabbit,alive,48
201,rabbit,alive,48
202,rabbit,alive,48
203,rabbit,alive,48
204,rabbit,alive,48
205,rabbit,alive,48
206,rabbit,alive,48
207,rabbit,alive,48
208,rabbit,alive,49
209,rabbit,alive,49
210,rabbit,alive,49
211,rabbit,alive,49
212,rabbit,alive,49
213,rabbit,alive,49
214,rabbit,alive,49
215,rabbit,alive,49
216,rabbit,alive,49
217,rabbit,alive,49
218,rabbit,alive,49
219,rabbit,alive,49
220,rabbit,alive,49
221,rabbit,alive,49
222,rabbit,alive,49
223,rabbit,alive,49
224,rabbit,alive,49
225,rabbit,alive,49
226,rabbit,alive,50
227,rabbit,alive,50
228,rabbit,alive,50
229,rabbit,alive,50
230,rabbit,alive,50
