frame,kind,death_cause,gender,number of agents
0,fox,alive,female,21
0,fox,alive,male,29
0,rabbit,alive,female,23
0,rabbit,alive,male,27
1,fox,alive,female,21
1,fox,alive,male,29
1,rabbit,alive,female,23
1,rabbit,alive,male,27
2,fox,alive,female,21
2,fox,alive,male,29
2,rabbit,alive,female,23
2,rabbit,alive,male,27
3,fox,alive,female,21
3,fox,alive,male,29
3,rabbit,alive,female,23
3,rabbit,alive,male,27
4,fox,alive,female,21
4,fox,alive,male,29
4,rabbit,alive,female,23
4,rabbit,alive,male,27
5,fox,alive,female,21
5,fox,alive,male,29
5,rabbit,alive,female,23
5,rabbit,alive,male,27
6,fox,alive,female,21
6,fox,alive,male,29
6,rabbit,alive,female,23
6,rabbit,alive,male,27
7,fox,alive,female,21
7,fox,alive,male,29
7,rabbit,alive,female,23
7,rabbit,alive,male,27
8,fox,alive,female,21
8,fox,alive,male,29
8,rabbit,alive,female,23
8,rabbit,alive,male,27
9,fox,alive,female,21
9,fox,alive,male,29
9,rabbit,alive,female,22
9,rabbit,alive,male,26
9,rabbit,eaten,female,1
9,rabbit,eaten,male,1
10,fox,alive,female,21
10,fox,alive,male,29
10,rabbit,alive,female,23
10,rabbit,alive,male,26
11,fox,alive,female,21
11,fox,alive,male,29
11,rabbit,alive,female,23
11,rabbit,alive,male,26
12,fox,alive,female,21
12,fox,alive,male,29
12,rabbit,alive,female,23
12,rabbit,alive,male,26
13,fox,alive,female,21
13,fox,alive,male,29
13,rabbit,alive,female,23
13,rabbit,alive,male,26
14,fox,alive,female,21
14,fox,alive,male,29
14,rabbit,alive,female,23
14,rabbit,alive,male,26
15,fox,alive,female,21
15,fox,alive,male,29
15,rabbit,alive,female,23
15,rabbit,alive,male,26
16,fox,alive,female,21
16,fox,alive,male,29
16,rabbit,alive,female,23
16,rabbit,alive,male,26
17,fox,alive,female,21
17,fox,alive,male,29
17,rabbit,alive,female,23
17,rabbit,alive,male,26
18,fox,alive,female,21
18,fox,alive,male,29
18,rabbit,alive,female,23
18,rabbit,alive,male,26
19,fox,alive,female,21
19,fox,alive,male,29
19,rabbit,alive,female,23
19,rabbit,alive,male,26
20,fox,alive,female,21
20,fox,alive,male,29
20,rabbit,alive,female,23
20,rabbit,alive,male,26
21,fox,alive,female,21
21,fox,alive,male,29
21,rabbit,alive,female,23
21,rabbit,alive,male,26
22,fox,alive,female,21
22,fox,alive,male,29
22,rabbit,alive,female,23
22,rabbit,alive,male,26
23,fox,alive,female,21
23,fox,alive,male,29
23,rabbit,alive,female,23
23,rabbit,alive,male,26
24,fox,alive,female,21
24,fox,alive,male,29
24,rabbit,alive,female,23
24,rabbit,alive,male,26
25,fox,alive,female,21
25,fox,alive,male,29
25,rabbit,alive,female,23
25,rabbit,alive,male,26
26,fox,alive,female,21
26,fox,alive,male,29
26,rabbit,alive,female,24
26,rabbit,alive,male,26
27,fox,alive,female,21
27,fox,alive,male,29
27,rabbit,alive,female,24
27,rabbit,alive,male,26
28,fox,alive,female,21
28,fox,alive,male,29
28,rabbit,alive,female,24
28,rabbit,alive,male,26
29,fox,alive,female,21
29,fox,alive,male,29
29,rabbit,alive,female,24
29,rabbit,alive,male,26
30,fox,alive,female,21
30,fox,alive,male,29
30,rabbit,alive,female,24
30,rabbit,alive,male,26
31,fox,alive,female,21
31,fox,alive,male,29
31,rabbit,alive,female,24
31,rabbit,alive,male,25
31,rabbit,eaten,male,1
32,fox,alive,female,21
32,fox,alive,male,29
32,rabbit,alive,female,24
32,rabbit,alive,male,25
33,fox,alive,female,21
33,fox,alive,male,29
33,rabbit,alive,female,24
33,rabbit,alive,male,25
34,fox,alive,female,21
34,fox,alive,male,29
34,rabbit,alive,female,24
34,rabbit,alive,male,25
35,fox,alive,female,21
35,fox,alive,male,29
35,rabbit,alive,female,24
35,rabbit,alive,male,25
36,fox,alive,female,21
36,fox,alive,male,29
36,rabbit,alive,female,24
36,rabbit,alive,male,25
37,fox,alive,female,21
37,fox,alive,male,29
37,rabbit,alive,female,24
37,rabbit,alive,male,25
38,fox,alive,female,21
38,fox,alive,male,29
38,rabbit,alive,female,24
38,rabbit,alive,male,25
39,fox,alive,female,21
39,fox,alive,male,29
39,rabbit,alive,female,24
39,rabbit,alive,male,25
40,fox,alive,female,21
40,fox,alive,male,29
40,rabbit,alive,female,24
40,rabbit,alive,male,25
41,fox,alive,female,21
41,fox,alive,male,29
41,rabbit,alive,female,24
41,rabbit,alive,male,25
42,fox,alive,female,21
42,fox,alive,male,29
42,rabbit,alive,female,24
42,rabbit,alive,male,25
43,fox,alive,female,21
43,fox,alive,male,29
43,rabbit,alive,female,24
43,rabbit,alive,male,25
44,fox,alive,female,21
44,fox,alive,male,29
44,rabbit,alive,female,24
44,rabbit,alive,male,25
45,fox,alive,female,21
45,fox,alive,male,29
45,rabbit,alive,female,24
45,rabbit,alive,male,25
46,fox,alive,female,21
46,fox,alive,male,29
46,rabbit,alive,female,24
46,rabbit,alive,male,25
47,fox,alive,female,21
47,fox,alive,male,29
47,rabbit,alive,female,24
47,rabbit,alive,male,25
48,fox,alive,female,21
48,fox,alive,male,29
48,rabbit,alive,female,24
48,rabbit,alive,male,25
49,fox,alive,female,21
49,fox,alive,male,29
49,rabbit,alive,female,24
49,rabbit,alive,male,25
50,fox,alive,female,2
50,fox,alive,male,1
50,rabbit,alive,female,24
50,rabbit,alive,male,25
51,fox,alive,female,2
51,fox,alive,male,1
51,rabbit,alive,female,24
51,rabbit,alive,male,25
52,fox,alive,female,2
52,fox,alive,male,1
52,rabbit,alive,female,24
52,rabbit,alive,male,25
53,fox,alive,female,2
53,fox,alive,male,1
53,rabbit,alive,female,24
53,rabbit,alive,male,25
54,fox,alive,female,2
54,fox,alive,male,1
54,rabbit,alive,female,24
54,rabbit,alive,male,25
55,fox,alive,female,2
55,fox,alive,male,1
55,rabbit,alive,female,24
55,rabbit,alive,male,25
56,fox,alive,female,2
56,fox,alive,male,1
56,rabbit,alive,female,24
56,rabbit,alive,male,25
57,fox,alive,female,2
57,fox,alive,male,1
57,rabbit,alive,female,24
57,rabbit,alive,male,25
58,fox,alive,female,2
58,fox,alive,male,1
58,rabbit,alive,female,24
58,rabbit,alive,male,25
59,fox,alive,female,2
59,fox,alive,male,1
59,rabbit,alive,female,24
59,rabbit,alive,male,25
60,fox,alive,female,1
60,rabbit,alive,female,24
60,rabbit,alive,male,25
61,fox,alive,female,1
61,rabbit,alive,female,24
61,rabbit,alive,male,25
62,fox,alive,female,1
62,rabbit,alive,female,24
62,rabbit,alive,male,25
63,fox,alive,female,1
63,rabbit,alive,female,24
63,rabbit,alive,male,25
64,fox,alive,female,1
64,rabbit,alive,female,24
64,rabbit,alive,male,25
65,fox,alive,female,1
65,rabbit,alive,female,24
65,rabbit,alive,male,25
66,fox,alive,female,1
66,rabbit,alive,female,24
66,rabbit,alive,male,25
67,fox,alive,female,1
67,rabbit,alive,female,24
67,rabbit,alive,male,25
68,fox,alive,female,1
68,rabbit,alive,female,24
68,rabbit,alive,male,25
69,fox,alive,female,1
69,rabbit,alive,female,24
69,rabbit,alive,male,25
70,fox,alive,female,1
70,rabbit,alive,female,24
70,rabbit,alive,male,25
71,fox,alive,female,1
71,rabbit,alive,female,24
71,rabbit,alive,male,25
72,fox,alive,female,1
72,rabbit,alive,female,24
72,rabbit,alive,male,25
73,fox,alive,female,1
73,rabbit,alive,female,24
73,rabbit,alive,male,25
74,fox,alive,female,1
74,rabbit,alive,female,24
74,rabbit,alive,male,25
75,fox,alive,female,1
75,rabbit,alive,female,24
75,rabbit,alive,male,25
76,fox,alive,female,1
76,rabbit,alive,female,24
76,rabbit,alive,male,25
77,fox,alive,female,1
77,rabbit,alive,female,24
77,rabbit,alive,male,25
78,fox,alive,female,1
78,rabbit,alive,female,24
78,rabbit,alive,male,25
79,fox,alive,female,1
79,rabbit,alive,female,24
79,rabbit,alive,male,25
80,fox,alive,female,1
80,rabbit,alive,female,24
80,rabbit,alive,male,25
81,fox,alive,female,1
81,rabbit,alive,female,24
81,rabbit,alive,male,25
82,rabbit,alive,female,24
82,rabbit,alive,male,25
83,rabbit,alive,female,24
83,rabbit,alive,male,25
84,rabbit,alive,female,24
84,rabbit,alive,male,25
85,rabbit,alive,female,24
85,rabbit,alive,male,25
86,rabbit,alive,female,24
86,rabbit,alive,male,25
87,rabbit,alive,female,24
87,rabbit,alive,male,25
88,rabbit,alive,female,24
88,rabbit,alive,male,25
89,rabbit,alive,female,24
89,rabbit,alive,male,25
90,rabbit,alive,female,24
90,rabbit,alive,male,25
91,rabbit,alive,female,24
91,rabbit,alive,male,25
92,rabbit,alive,female,24
92,rabbit,alive,male,25
93,rabbit,alive,female,24
93,rabbit,alive,male,25
94,rabbit,alive,female,24
94,rabbit,alive,male,25
95,rabbit,alive,female,24
95,rabbit,alive,male,25
96,rabbit,alive,female,24
96,rabbit,alive,male,25
97,rabbit,alive,female,24
97,rabbit,alive,male,25
98,rabbit,alive,female,24
98,rabbit,alive,male,25
99,rabbit,alive,female,24
99,rabbit,alive,male,25
100,rabbit,alive,female,24
100,rabbit,alive,male,25
101,rabbit,alive,female,24
101,rabbit,alive,male,25
102,rabbit,alive,female,24
102,rabbit,alive,male,25
103,rabbit,alive,female,24
103,rabbit,alive,male,25
104,rabbit,alive,female,24
104,rabbit,alive,male,25
105,rabbit,alive,female,24
105,rabbit,alive,male,25
106,rabbit,alive,female,24
106,rabbit,alive,male,25
107,rabbit,alive,female,24
107,rabbit,alive,male,25
108,rabbit,alive,female,24
108,rabbit,alive,male,25
109,rabbit,alive,female,24
109,rabbit,alive,male,25
110,rabbit,alive,female,24
110,rabbit,alive,male,25
111,rabbit,alive,female,24
111,rabbit,alive,male,25
112,rabbit,alive,female,24
112,rabbit,alive,male,25
113,rabbit,alive,female,24
113,rabbit,alive,male,25
114,rabbit,alive,female,24
114,rabbit,alive,male,25
115,rabbit,alive,female,24
115,rabbit,alive,male,25
116,rabbit,alive,female,24
116,rabbit,alive,male,25
117,rabbit,alive,female,24
117,rabbit,alive,male,25
118,rabbit,alive,female,24
118,rabbit,alive,male,25
119,rabbit,alive,female,24
119,rabbit,alive,male,25
120,rabbit,alive,female,24
120,rabbit,alive,male,25
121,rabbit,alive,female,24
121,rabbit,alive,male,25
122,rabbit,alive,female,24
122,rabbit,alive,male,25
123,rabbit,alive,female,24
123,rabbit,alive,male,25
124,rabbit,alive,female,24
124,rabbit,alive,male,25
125,rabbit,alive,female,24
125,rabbit,alive,male,25
126,rabbit,alive,female,24
126,rabbit,alive,male,25
127,rabbit,alive,female,24
127,rabbit,alive,male,25
128,rabbit,alive,female,24
128,rabbit,alive,male,25
129,rabbit,alive,female,24
129,rabbit,alive,male,25
130,rabbit,alive,female,24
130,rabbit,alive,male,25
131,rabbit,alive,female,24
131,rabbit,alive,male,25
132,rabbit,alive,female,24
132,rabbit,alive,male,25
133,rabbit,alive,female,24
133,rabbit,alive,male,25
134,rabbit,alive,female,24
134,rabbit,alive,male,25
135,rabbit,alive,female,24
135,rabbit,alive,male,25
136,rabbit,alive,female,24
136,rabbit,alive,male,25
137,rabbit,alive,female,24
137,rabbit,alive,male,25
138,rabbit,alive,female,24
138,rabbit,alive,male,25
139,rabbit,alive,female,24
139,rabbit,alive,male,25
140,rabbit,alive,female,24
140,rabbit,alive,male,25
141,rabbit,alive,female,24
141,rabbit,alive,male,25
142,rabbit,alive,female,24
142,rabbit,alive,male,25
143,rabbit,alive,female,24
143,rabbit,alive,male,25
144,rabbit,alive,female,24
144,rabbit,alive,male,25
145,rabbit,alive,female,24
145,rabbit,alive,male,25
146,rabbit,alive,female,24
146,rabbit,alive,male,25
147,rabbit,alive,female,24
147,rabbit,alive,male,25
148,rabbit,alive,female,24
148,rabbit,alive,male,25
149,rabbit,alive,female,24
149,rabbit,alive,male,25
150,rabbit,alive,female,24
150,rabbit,alive,male,25
151,rabbit,alive,female,24
151,rabbit,alive,male,25
152,rabbit,alive,female,24
152,rabbit,alive,male,25
153,rabbit,alive,female,24
153,rabbit,alive,male,25
154,rabbit,alive,female,24
154,rabbit,alive,male,25
155,rabbit,alive,female,24
155,rabbit,alive,male,25
156,rabbit,alive,female,24
156,rabbit,alive,male,25
157,rabbit,alive,female,24
157,rabbit,alive,male,25
158,rabbit,alive,female,24
158,rabbit,alive,male,25
159,rabbit,alive,female,24
159,rabbit,alive,male,25
